species,iucn,FSp,FUn,FUSE_no,FUSE_median,FUSE_mean,FUSE_sd,FUSE_q025,FUSE_q975,rank,perc
Abeillia_abeillei,LC,0.37614533669417366,0.029397435414711234,0.4055427721088849,0.020283691248845534,0.02165979190846095,0.01096471810126895,0.0037854779172634915,0.034680277444596445,1,0.24878164745037443
Abroscopus_albogularis,LC,0.27749706355401954,0.03047053640567986,0.3079675999596994,0.014678929950945328,0.0149321591762763,0.00979097037513444,0.0016085032846341453,0.027193365679320118,2,0.3830975870676334
Abroscopus_schisticeps,LC,0.31590106959291897,0.034731472740315905,0.3506325423332349,0.021048456577793317,0.01997352060128305,0.008087348982476802,0.005860856921037123,0.031359979798590454,3,0.2366575537858077
Abroscopus_superciliaris,LC,0.2534177295589483,0.04154535405665511,0.2949630836156034,0.01599862299076938,0.01470593090584448,0.008911024298276789,0.0018695253114849536,0.02587278207181149,4,0.344229169142993
Aburria_aburri,LC,0.4327957848320371,0.041883815461705075,0.4746796002937422,0.014004628697380058,0.015191896302711783,0.00947755548361507,0.006191952638723304,0.03360042880114667,5,0.4067514560798764
Acanthagenys_rufogularis,LC,0.04892619751607942,0.04573224353665897,0.09465844105273839,0.0036118134643790155,0.003823307332335608,0.0027291266175578457,5.58399277851386e-4,0.007708779837960858,6,0.9665993105907524
Acanthisitta_chloris,LC,0.2799330863556249,0.14607544513478363,0.4260085314904085,0.02195272802019798,0.02179766093297089,0.01019579658247429,0.00537729539036582,0.031948063687667186,7,0.22560323309164387
Acanthiza_apicalis,LC,0.21838625899697,0.015086753467607756,0.23347301246457777,0.009301051577539859,0.00922217904160312,0.005581942654184528,5.586391362104374e-4,0.01613938921556225,8,0.6255794603589683
Acanthiza_chrysorrhoa,LC,0.21750208046971414,0.03927951526338035,0.2567815957330945,0.013164788668844712,0.013331622021190105,0.007727295726000469,0.0028606115665733363,0.02291138549800919,9,0.4362296445976465
Acanthiza_ewingii,LC,0.2201228302356006,0.03625595805119118,0.2563787882867918,0.00967583278619233,0.009887791961428702,0.00566492210974705,0.0024455639186720017,0.017933037192613455,10,0.6051349102579342
Acanthiza_inornata,LC,0.2432764138084772,0.024601188751134373,0.26787760255961157,0.013555413980884085,0.014493651914864389,0.0066109781963405905,0.004725059306847259,0.023429424201832957,11,0.42101509568524903
Acanthiza_iredalei,LC,0.2703228002002975,0.03620893408971645,0.3065317342900139,0.01614911630103969,0.015904861531522565,0.009360725821017223,0.0022685321999024546,0.026966359558512773,12,0.33935575894449066
Acanthiza_katherina,VU,0.2213909789637153,0.01571064904810601,0.2371016280118213,0.046500951473745264,0.049986773257577125,0.013011680935918894,0.036890652482067424,0.07347075180972325,13,0.10887911565434447
Acanthiza_lineata,LC,0.23240229231697843,0.02515817186877011,0.2575604641857485,0.016854454791463424,0.017034263009526082,0.003915748835665003,0.01097743666155718,0.022877577826985396,14,0.32009984547723763
Acanthiza_murina,LC,0.2290354728125104,0.023815111824787613,0.25285058463729804,0.005722622584335556,0.0077238619791020315,0.006264414748552733,6.024374736289307e-4,0.019170737008475366,15,0.8614049685011292
