"species","in_M","in_L","in_D","in_C","n_spaces","category","excl_space"
"4026",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"2699",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"6943",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"8220",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"3775",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"3341",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"708",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"3355",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"151",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"3317",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"3361",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"2247",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"867",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"2698",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"7815",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"4027",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"5550",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"2466",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"3315",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"709",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"1652",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"686",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"2249",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"2251",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"5553",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"4049",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"3319",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"3360",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"2468",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"2467",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"3359",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"2464",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"2465",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"2463",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"1655",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"707",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"706",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"3316",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"6030",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"1653",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"3432",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"5001",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"869",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"5549",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"2248",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"625",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"3404",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"3363",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"5311",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"868",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"631",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"5551",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"5555",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"606",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"7897",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"1656",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"5556",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"7658",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"3364",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"3362",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"5539",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"3033",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"3400",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"3318",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"626",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"5765",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"7663",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"3401",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"1025",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"5554",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"4749",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"6235",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
